"SAL02 : Salaires mensuels nets selon le sexe et la catégorie socioprofessionnelle "            
            
SEXE Ensemble    Femmes    Hommes   
INDICATEUR "Population salariée (en milliers)" "Salaire-troisième quartile (en euros)" "Salaire médian (en euros)" "Salaire-premier quartile (en euros)" "Population salariée (en milliers)" "Salaire-troisième quartile (en euros)" "Salaire médian (en euros)" "Salaire-premier quartile (en euros)" "Population salariée (en milliers)" "Salaire-troisième quartile (en euros)" "Salaire médian (en euros)" "Salaire-premier quartile (en euros)"
"CS actifs salariés en 33 postes"            
Ensemble 23 645,5 2 392 1 780 1 350 11 886,9 2 140 1 600 1 206 11 758,6 2 616 1 948 1 500
"Non renseigné" 90,8 2 357 1 809 1 419 47,5 1 955 1 751 1 265 43,3 2 556 2 008 1 633
"Cadres et professions intellectuelles supérieures" 4 891,7 4 000 3 000 2 322 2 088,0 3 476 2 700 2 105 2 803,7 4 280 3 233 2 500
"Professions libérales" 62,6 2 600 1 720 1 100 51,1 2 500 1 709 1 100 11,5 2 960 2 000 1 000
"Cadres de la fonction publique" 513,4 3 797 2 838 2 166 251,9 3 444 2 600 2 101 261,5 4 097 3 100 2 226
"Professeurs, professions scientifiques" 867,2 3 400 2 600 2 000 488,6 3 175 2 500 1 973 378,5 3 728 2 800 2 107
"Professions de l'information, des arts et des spectacles" 201,8 3 200 2 022 1 317 100,3 2 756 1 836 1 269 101,5 3 400 2 300 1 480
"Cadres administratifs et commerciaux d'entreprises" 1 573,0 4 330 3 200 2 500 794,9 3 733 2 865 2 332 778,1 4 657 3 600 2 750
"Ingénieurs et cadres techniques d'entreprises" 1 673,7 4 076 3 166 2 500 401,2 3 591 2 822 2 300 1 272,5 4 200 3 258 2 600
"Professions intermédiaires" 6 509,7 2 378 1 964 1 600 3 490,0 2 216 1 867 1 500 3 019,7 2 504 2 078 1 700
"Instituteurs et assimilés" 909,9 2 327 1 958 1 484 621,5 2 300 1 980 1 500 288,5 2 400 1 920 1 395
"Professions intermédiaires de la santé et du travail social" 1 372,3 2 174 1 822 1 474 1 092,5 2 166 1 808 1 467 279,8 2 250 1 900 1 536
"Clergé, religieux" 10,4 1 500 1 037 800 2,3 1 100 800 600 8,1 1 920 1 200 952
"Professions intermédiaires administratives de la fonction publique" 497,7 2 434 2 066 1 725 313,1 2 235 1 926 1 630 184,6 2 720 2 350 1 984
"Professions intermédiaires administratives et commerciales des entreprises" 1 901,4 2 383 1 921 1 564 1 172,6 2 234 1 841 1 513 728,8 2 600 2 041 1 650
Techniciens 1 236,5 2 400 2 006 1 685 194,0 2 200 1 870 1 500 1 042,5 2 430 2 045 1 722
"Contremaîtres, agents de maîtrise" 581,5 2 600 2 166 1 822 94,1 2 234 1 883 1 439 487,4 2 666 2 233 1 900
Employés 6 966,9 1 700 1 400 1 100 5 230,1 1 632 1 350 1 003 1 736,7 1 950 1 550 1 267
"Employés civils et agents de service de la fonction publique" 2 314,2 1 700 1 483 1 225 1 857,9 1 665 1 451 1 200 456,3 1 814 1 570 1 335
"Policiers et militaires" 488,0 2 300 1 900 1 464 71,1 2 200 1 882 1 400 416,9 2 350 1 918 1 500
"Employés administratifs d'entreprises" 1 370,0 1 937 1 560 1 300 1 109,6 1 874 1 516 1 282 260,4 2 133 1 700 1 347
"Employés de commerce" 1 141,9 1 522 1 300 1 111 799,7 1 483 1 294 1 083 342,2 1 658 1 383 1 200
"Personnels des services directs aux particuliers" 1 652,8 1 400 1 100 657 1 391,9 1 376 1 034 633 260,9 1 600 1 295 900
Ouvriers 5 186,5 1 900 1 560 1 288 1 031,2 1 586 1 300 940 4 155,3 1 950 1 619 1 350
"Ouvriers qualifiés de type industriel" 1 032,0 2 068 1 780 1 500 169,0 1 845 1 550 1 400 863,0 2 110 1 800 1 552
"Ouvriers qualifiés de type artisanal" 1 274,9 1 862 1 600 1 350 154,7 1 666 1 400 1 200 1 120,2 1 896 1 600 1 388
Chauffeurs 653,9 2 125 1 766 1 400 56,7 1 600 1 250 812 597,2 2 166 1 800 1 488
"Ouvriers qualifiés de la manutention, du magasinage et du transport" 465,3 1 950 1 596 1 383 70,0 1 700 1 510 1 251 395,3 1 998 1 600 1 400
"Ouvriers non qualifiés de type industriel" 867,0 1 700 1 435 1 200 265,2 1 594 1 350 1 154 601,7 1 791 1 483 1 250
"Ouvriers non qualifiés de type artisanal" 678,3 1 500 1 200 700 255,4 1 200 840 500 422,8 1 623 1 353 950
"Ouvriers agricoles" 215,3 1 516 1 300 1 094 60,2 1 338 1 200 1 023 155,1 1 650 1 350 1 108
"Champ : France hors Mayotte, personnes vivant en logement ordinaire, salariées."            
"Source : Insee, enquête Emploi 2020."            
